nombre_es,nombre_la,nombre_en
A bocajarro,Cuerpo a cuerpo,Close Combat
Abrecaminos,Abrecaminos,Trailblaze
Acróbata,Acrobacia,Acrobatics
Acua cola,Cola de agua,Aqua Tail
Acua jet,Acuaiet,Aqua Jet
Aerochorro,Aerochorro,Ae Oblast
Aerochorro+,Aerochorro+,Aeroblast+
Aerochcrro++,Aerochorro++,Aeroblast++
Agarre,Fuerza de garra,Vise Grip
Agua Iodosa,Agua Iodosa,Muddy Water
Aguijón letal,Aguijón letal,Fell Stinger
Aire afilado,Aire cortante,Air Cutter
Ala mortifera,Ala del olvido,Oblivion Wing
Alud,Alud,Avalanche
Anillo igneo,Anillo de fuego,Blast Burn
Arenas ardientes,Arenas ardientes,Scorching Sands
Arrumaco,Sello de corazón,Heart Stamp
Ascenso draco,Ascenso dracónico,Dragon Ascent
Ataque aéreo,Ataque celestial,Sky Attack
Avalancha,Avalancha,Rock Slide
Beso drenaje,Beso drenador,Draining Kiss
Bola neblina,Bola neblina,Mist Ball
Bola Sombra,Bola sombra,Shadow Ball
Bomba ácida,Bomba ácida,Acid Spray
Bomba fango,Bomba fango,Mud Bomb
Bomba germen,Bomba semilla,Seed Bomb
Bomba imán ,Magnetobomba,Magnet Bomb
Bomba Iodo,Bomba Iodo,Sludge Bomb 
Brillo mágico,Brillo mágico,Dazzling Gleam
Bucle arena,Tumba de arena,Sand Tomb
Cabeza de hierro,Cabeza de hierro,Iron Head
Cabezazo,Cabezazo,Skull Bash
Carámbano,Lanza de hielo,Icicle Spear
Carantoña,Juego rudo,Play Rough
Carga parábola,Carga parabó1ica,Parabolic Charge
Chispazo,Chispazo,Discharge
Ciclón,Tornado,Twister
Ciclón de hojas,Ciclón de hojas,Leaf Tornado
Colmillo veneno,Colmillo veneno,Poison Fang
Concha filo,Coraza afilada,Razor Shell
Combate,Forcejeo,Struggle
Cometa draco,Meteoro dragón,Draco Meteor
Constricción,Constricción,Wrap
Cornada,Ataque cuerno,Horn Attack
Corte vacío,Corte espacial,Spacial Rend
Cuerpo pesado,Golpe pesado,Heavy Slam
Danza pluma,Danza de plumas,Feather Dance
Demolición,Karatazo,Brick Break
Descanso,Descanso,Rest
Deseo oculto,Deseo final,Doom Desire
Disparo espejo,Disparo espejo,Mirror Shot
Distorsión,Rugido temporal,Roar of Time
Doble rayo,Rayo señal,Signal Beam
Electormenta,Electormenta,Wildbolt Storm
Electrocañón,Electrocañón,Zap Cannon
Energibola,Bola de energía,Energy Ball
Enfado,Enfado,Outrage
Escaldar,Escaldar,Scald
Esfera aural,Aura esfera,Aura Sphere
Espada santa,Espada sagrada,Sacred Sword
Estruendo,Estruendo,Boomburst
Excavar,Excava,Oig
