nombre_es,nombre_la,nombre_en
Acido,Acido,Acid
Acoso,Infestación,Infestation
Ala de acero,Ala de acero,Steel Wing
Alarido,Alarido,Snart
Antiaéreo,Antiaéreo,Smack Down
Arañazo,Arañazo,Scratch
Ascuas,Brasas,Ember
Ataque ala,Ataque de ala,Wing Attack
Ataque arena,Ataque arena,Sand Attack
Ataque rápido,Ataque rápido,Quick Attack
Bofetón Iodo,Bofetón Iodo,Mud-SIap
8 ostezc,Bostezo,Yawn
Burbuja,Burbuja,Bubble
Cabezazo zen,Cabezazo zen,Zen Headbutt
Calcinación,Incinerar,Incinerate
Canto helado,Esquirla helada,Ice Shard
Cascada,Cascada,Waterfall
Chispa,Chispa,Spark
Cola dragón,Cola de dragón,Dragon Tail
Cola férrea,Cola de hierro,Iron Tail
Colmillo hielo,Colmillo de hielo,Ice Fang
Colmillo ígneo,Colmillo de fuego,Fire Fang
Colmillo rayo,Colmillo de trueno,Thunder fang
Confusión,Confusión,Confusion
Contraataque,Contraataque,Counter
Corte,Corte,cut
Corte furia,Corte furia,Fury Cutter
Derribo,Derribo,Take Down
Desenrollar,Rodada,Rol out
Destructor,Destructor,Pound
Disparo lodo,Disparo de Iodo,Mud Shot
Doble patada,Doble patada,Double Kick
Dragoaliento,Aliento de dragón,Dragon breath
Eco metálico,Sonido metálico,Metal Sound
Encanto,Encanto,Charm
Estoicismo,Lucha insecto,Struggle bug
Fijar blanco,Fijar blanco,Lock-On
Finta,Ataque finta,Feint Attack
Follaje,Follaje,Leafage
Garra metal,Garra de metal,Metal Clavv
Garra umbría,Garra de sombra,Shadow Claw
Geocontrol,Geocontrol,Geomancy
Giro fuego,Giro fuego,Fire Spin
Golpe bajo,Golpe bajo,Sucker Punch
Golpe kárate,Golpe karate,Karate Chop
Golpe noca,Golpe roca,Rock Smash
Hoja afilada,Hojas navaja,Razor Leaf
Hoja mágica,Hojas mágicas ,Magical Leaf 
Impactrueno,Impactrueno,Thunder Shock
Impresionar,Impresión,Astonish
Infortunio,Infortunio,Hex
Lanzarrocas,Lanza rocas,Rock Throw
Látigo cepa,Látigo cepa,Vine Whip
Lengüetazo,Lengüetazo,Lick
Mordisco,Mordida,Bite
Nieve polvo,Polvo de nieve,Powder Snow
Paranormal,Extrasensorial,Extrasensory
Patada baja,Patada baJa,Low Kick
Picadura,Picadura,Bug Bite
Picotazo,Picotazo,peck
Picotazo veneno,Picotazo veneno,Poison Sting
Pistola agua,Chorro de agua,Water Gun
Placaje,Tacleada,Tackle
Poder oculto,Poder oculto,Hidden Power
Presente,Obsequio,Present
Psicocorte,Psicocorte,Psycho Cut
psicoonda,Psicoonda,Psywave
Puño bala,Puño bala,Bullet Punch
Puya nociva,Golpe venenoso,Poison Jab
Rayo carga,Rayo carga,Charge Beam
Salpicadura,Salpicadura,Splash
Semilladora,Bala semilla,Bulet Seed
Shuriken de agua,Shuriken de agua,Water shiruken
Tajo aéreo,Corte aéreo,Air Slash
Tornado,Ráfaga de aire,Gust
Transformación,Transformación,Transform
Vaho gélido,Vaho helado,Frost Breath
Viento feérico,Viento feérico,Fairy Wind
Voltiocambio,Cambiavoltaje,Volt Switch
